name_a,name_b
ACID," Atomicity, Consistency, Isolation, and Durability (in databases)"
ACINT, Acoustic Intelligence
ACK, Acknowledge (telecommunications; cf. NAK)
ACLJ, American Center for Law and Justice
ACLOS, Automatic CLOS (missile control system)
ACLS, American Council of Learned Societies
ACM,"many, including Association for Computing Machinery; see entry"
ACMC, (U.S.) Assistant Commandant of the Marine Corps
ACNA, Anglican Church in North America
ACO, Airspace Control Order
ACOBA, Advisory Committee on Business Appointments
ACOG, American College of Obstetricians and Gynecologists
ACOM, (U.S.) Atlantic Command
ACORN, Association of Community Organizations for Reform Now
ACR, Advanced Concepts and Requirements
ACRI, African Crisis Initiative
ACRT, Advanced Concepts Research Tool simulator
ACSC, Army Command and Staff College (various nations)
ACST, Australian Central Standard Time
ACST, American Cooperative School of Tunis
"ACT- Adaptive Control of Thought (cognitive model),American College Test (ing Program),Australian Capital Territory (also postal symbol),ACT UP", AIDS Coalition to Unleash Power
ACTD, Advanced Concept Technology Demonstration
"ACTF- (U.S.) Army Constructive Training Federation,Australian Children's Television Foundation,ACT-R"," ACT-Rational (cognitive model),ACT-R/PM -  ACT-R/Perceptual-Motor (cognitive model)"
ACTU, Australian Council of Trade Unions
ACU, American Conservative Union
ACV, Armoured Combat Vehicle
AD," Air Defence -  Andorra (ISO 3166 digram) -  Anno Domini (Latin, ""In the year of our Lord"")"
ADA, Air Defence Artillery - American Dental Association - Assistant District Attorney - Americans with Disabilities Act (see also the similar but non-acronymic Ada programming language)
ADAC,"(a/i) Allgemeiner Deutscher Automobil-Club (German, ""General German Automobile Club"")"
ADAGE, Air Defense Air to Ground Engagement (simulation)
ADAP, AIDS Drug Assistance Program
ADAS,(a/i) Asiago-DLR Asteroid Survey
ADAT, Alesis Digital Audio Tape (recording format)
ADatP, Automated Data Processing
ADATS, Agricultural Development and Training Society - Air Defence Anti-Tank System - Australian Defence Air Traffic System
ADB, Asian Development Bank
ADC, Aide De Camp - U.S. Air Defense Command (1946-1992) - Apple Display Connector - Program Against Digital Counterfeiting of Currency
ADCTS, Advanced Distributed Combat Training System
ADD, Analog Digital Digital (CD quality) - Attention-Deficit Disorder - Administration on Developmental Disabilities
ADDIE, Analyze Design Develop Implement and Evaluate
ADDNS, Advanced Deployable Day/Night Simulation
ADF, Australian Defence Force - African Development Foundation
ADGB,Air Defence of Great Britain
ADHD, Attention-Deficit Hyperactivity Disorder
ADHS, Attention-Deficit Hyperactivity Syndrome
ADI, Acceptable/Allowable Daily Intake
ADIZ,(a/i) Air Defence Identification Zone
ADL, Anti-Defamation League
ADM," Administrative -  - Admiral, and the U.S. Public Health Service Commissioned Corps - Archer Daniels Midland - Assistant Deputy Minister"
ADOA,(a/i) Air Defence Operations Area
ADP," Adenosine DiPhosphate - Army Doctrine Publication (UK, Canada, Australia) - Automatic/Automated Data Processing"
ADRG, Arc-second Raster Chart (ARC) Digitized Raster Graphics
ADS,(a/i) Active Denial System - Astrophysics Data System - Attention Deficit Syndrome
ADSR," Attack, Decay, Sustain, Release (sound envelope specification)"
ADT, Atlantic Daylight Time (UTC−3 hours)
ADTB, Army Doctrine and Training Bulletin
ADW, Air Defence Warning
ae, Avestan language (ISO 639-1 code)
"AE- Armed Forces Africa/Canada/Europe/Middle East (postal symbol),United Arab Emirates (ISO 3166 digram; FIPS 10-4 country code), Artix Entertainment,American Eagle,A&E","(a/i) Arts & Entertainment Network, the original name for the U.S. TV channel now known as A&E Network"
AED, United Arab Emirates dirham (ISO 4217 currency code)
AEDT, Australian Eastern Daylight Time
AEF, American Expeditionary Force
AEGIS, Airborne Early warning Ground environment Interface Segment (fake etymology)
AESR, Aeronautical Equipment Service Record
AEST, Australian Eastern Standard Time
aet, After extra time (Football)
AEW, Airborne Early Warning - Airborne Electronic Warfare
af, Afrikaans language (ISO 639-1 code)
aF, Attofarad
AFAIC, As Far As I'm Concerned
AFAICT, As Far As I Can Tell
AFAIK, As Far As I Know
AFAIR, As Far As I Remember/Recall
AFATDS, Advanced Field Artillery Tactical Data System
AFCEA, Armed Forces Communications and Electronics Association
AFDB, African Development Bank
AFES, Automatic Fire Extinguishing System
AFG, Afghanistan (ISO 3166 trigram)
AFIST, Abrams Full Crew Interactive Skills Trainer
AFJ, April Fool's Joke
AFK, Away From Keyboard (Internet chat abbreviation)
"AFL- American Federation of Labor,American Football League — either the 1960s league that merged into the National Football League, or one of several other leagues of American football,Arena Football League,Australian Football League,AFL-CIO", American Federation of Labor - Congress of Industrial Organizations
AFLAC, American Family Life Assurance Company of Columbus
AFM, Army Field Manual (UK; the U.S. more frequently uses just FM) - Atomic Force Microscope - Aviation Fleet Maintenance
AFN, Afghani (ISO 4217 currency code)
AFO, Association of Field Ornithologists
AFOSR, U.S. Air Force Office of Scientific Research
AFQT, Armed Forces Qualification Test
afr, Afrikaans language (ISO 639-2 code)
AFRC, Air Force Reserve Command
AFRL, Air Force Research Laboratory
AFROTC, Air Force Reserve Officer Training Corps
AFRRI,"(i, U.S.) Armed Forces Radiobiology Research Institute"
AFRTS, Armed Forces Radio and Television Service
"AFS- Active Front Steering,Air Facility Sub-System,Amniotic Fluid-derived Stem cell,AFS&A or AFSA", U.S. Air Force Studies and Analysis
AFSCN, U.S. Air Force Satellite Control Network
AFSPC, Air Force Space Command
AFT,American Farmland Trust
AFV, armoured fighting vehicle
ag, Attogram
Ag, Silver (Latin argentum)
AGARD, Advisory Group for Aerospace Research and Development
AGARDograph, Advanced Guidance for Alliance Research and Development publication
AGASA, Akeno Giant Air Shower Array (cosmic ray detector)
AGB, Internal Nintendo initialism (Advanced Game Boy) for Game Boy Advance
AGC, Adjutant General's Corps (British Army)
AGDC, Australian Game Developers' Conference
AGI, Auxiliary Group Intelligence
AGL, Above Ground Level
AGM, Annual General Meeting
AGN, Active Galactic Nucleus
AGO, Angola (ISO 3166 trigram)
AGP, Accelerated Graphics Port
AGRICOLA, Agriculture Online Access
AGS, Alaska Ground Station (LandSat)
AGTS, Advanced Gunnery Training System
AGU, American Geophysical Union
AGW, Autonomous Guided Weapon
aH, Attohenry
Ah, Ampere-hour
AH, Attack Helicopter
AHA, American Heart Association
AHCPR, Agency for Health Care Policy and Research (obsolete; replaced with AHRQ)
AHEC, Australian Health Ethics Committee
AHPCRC, Army High Performance Computing Research Center
AHQ,Air Headquarters
AHRQ, Agency for Healthcare Research and Quality
AHS, American Housing Survey
AIAA, American Institute of Aeronautics and Astronautics
AICD, Australian Institute of Company Directors
AICMFP, And I Claim My Five Pounds
AID, U.S. Agency for International Development
AIDS, Acquired Immune Deficiency Syndrome
AIM,"many, including AOL Instant Messenger, Australian Institute of Management; see entry"
AIMP, Aurora Incremental Modernization Project
AIPAC, American Israel Public Affairs Committee
AIR, Aircraft Inventory Record
AIRFA, American Indian Religious Freedom Act
AIRS,(a/i) Aerometric Information Retrieval System (obsolete; replaced with AFS)
AISB, (British Society for the Study of) Artificial Intelligence and the Simulation of Behaviour
aJ, Attojoule
AJ, Azerbaijan (FIPS 10-4 country code)
Ajax, Asynchronous JavaScript And XML
AJD, Astronomical Julian day
AJP, Allied Joint Publication
AJPW, All Japan Pro Wrestling
ak, Akan languages (ISO 639-1 code)
aK, Attokelvin
AK, Alaska (postal symbol)
aka, Akan languages (ISO 639-2 code)
AKA, Above knee amputation (orthopaedic usage)
AKDT, Alaska Standard Daylight Saving Time (UTC−8 hours)
AKST, Alaska Standard Time (UTC−9 hours)
AKP," Adalet ve Kalkınma Partisi (Turkish, ""Justice and Development Party"")"
aL, Attolitre
Al, Aluminium
ALA, Åland Islands (ISO 3166 trigram)
ALAP, As Long/Late As Possible
ALARM, Air-Launched Anti-Radar Missile
ALB, Albania (ISO 3166 trigram)
ALD, Accounting Line Designator (nuclear weapon targeting)
ALERT, Advanced Linked Extended Reconnaissance and Targeting - Attack and Launch Early Reporting to Theatre
ALG," Algeria (IOC and FIFA trigram, but not ISO 3166)"
ALGOL, ALGOrithmic Language
ALL, Albanian lek (ISO 4217 currency code)
ALOA," Associated Locksmiths of America, Inc."
ALPA, Air Line Pilots Association
ALS, Amyotrophic Lateral Sclerosis - Automatic Landing System
ALSHS, Abraham Low Self-Help Systems
ALSP, Aggregate Level Simulation Protocol
ALTE, Association of Language Testers in Europe
ALTACS, Automated decision Logic Tactical Air Combat Simulation
Am, Americium
AM1,Airman 1st class
AMAPS," Aircraft, Missile, Avionics Performance Simulation"
AMCB, U.S. Army/Marine Corps Board
AMF, Afghan Military Force
AMFOM," Advanced Missile Fly Out Model (""am-fomm"")"
amh, Amharic language (ISO 639-2 code)
AML, Acute Myeloid Leukaemia
AMLCD, Active Matrix Liquid Crystal Display
AMO, Atlantic Multidecadal Oscillation
AMOLED, Active-matrix organic light-emitting diode
AMRAAM, Advanced Medium-Range Air-to-Air Missile
AMRDEC," U.S. Aviation & Missile Research, Development, & Engineering Center"
AMSAA,(i/a) U.S. Army Materiel Systems Analysis Activity
AMSO,(i/a) U.S. Army Model and Simulation Office
AMSU,Advanced Microwave Sounding Unit
AMTE, UK Admiralty Marine Technology Establishment (1977-1984)
an, Aragonese language (ISO 639-1 code)
aN, Attonewton
ANC, African National Congress
AND, Andorra (ISO 3166 trigram)
ANFO, Ammonium nitrate/fuel oil (explosive)
ANGLiCo, Air/Naval Gunfire Liaison Company
ANL, Argonne National Laboratory
ANM, Acoustic Noise Monitor
ANOVA, ANalysis Of VAriance
ANS, Applied and Natural Sciences
ANSI, American National Standards Institute
ANTM, America's Next Top Model
ANTY,"Acronyms, No Thank You"
ANWR, Arctic National Wildlife Refuge /ˈænwɑr/
ANZ, Australia and New Zealand Banking Group
ANZAC, Australian and New Zealand Army Corps
AO, Angola (FIPS 10-4 country code; ISO 3166 digram) -  Approach Officer (submarine) - Area of Operations
AOA, Air Officer in charge of Administration - Argonne National Laboratory -  Angolan kwanza (ISO 4217 currency code) -  Award Of Arms (heraldry)
AOC, Air Operations Centre - Air Officer Commanding
AOD, Adrenalin O.D. (punk rock band)
AOI, Angle Of Incidence  Arab Organization for Industrialization
AOL, America OnLine
AOR, Area of Responsibility
AOSTH, Adventures of Sonic the Hedgehog
AOTS, Attack of the Show!
AOU, American Ornithologists' Union
APB, All Points Bulletin (police jargon)
APEC, Asia Pacific Economic Cooperation
APCNR," Armour-Piercing, Composite Non-Rigid (ammunition)"
APCR," Armour-Piercing, Composite Rigid (ammunition)"
APDS," Armour-Piercing, Discarding-Sabot (ammunition)"
APEDS, AMSAA Performance Estimates Data System
APEX, Applied Physics Express
APFSDS," Armour-Piercing, Fin-Stabilised, Discarding Sabot (ammunition)"
APHA, American Public Health Association
APHE," Armour-Piercing, High Explosive (ammunition)"
APHIS, Animal and Plant Health Inspection Service
API, Application Programming Interface
APM, Advanced Power Management
APOD, Aerial Port (Airport) Of Debarkation
APOE, Aerial Port (Airport) Of Embarkation
APOLLO, Apache Point Observatory Lunar Laser-ranging Operation
APP, Allied Procedural Publication
APR, Annual Percentage Rate
AQIM, Al-Qaeda in the Islamic Maghreb
ar, Arabic language (ISO 639-1 code)
Ar, Argon
AR, Argentina (FIPS 10-4 country code; ISO 3166 digram) - Arkansas (postal symbol) - Armour -  Arunachal Pradesh (Indian state code)
ara, Arabic language (ISO 639-2 code)
ARAG, Advanced Research and Assessment Group
ARB, Administrative Review Board
ARBA,(a/i) Army Review Boards Agency
ARC, Arc-second Raster Chart - Appalachian Regional Commission
ARCA, Automobile Racing Club of America
ARCENT, United States Army Central Command
ARDA, Advanced Research and Development Activity (became DTO 2006)
ARE, UK Admiralty Research Establishment (-1991) -  United Arab Emirates (ISO 3166 trigram)
ARF, ASEAN Regional Forum
arg, Aragonese language (ISO 639-2 code)
ARG, Argentina (ISO 3166 trigram)
ARH, Armed Reconnaissance Helicopter
ARI, Acute Respiratory Infection - U.S. Army Research Institute for the Behavioral and Social Sciences
ARL, UK Admiralty Research Laboratory (1921-1977) - U.S. Army Research Laboratory - UIUC Aviation Research Laboratory
ARM, Anti-Radiation Missile - Adjustable-rate mortgage -  Armenia (ISO 3166 trigram)
ARNet, Acquisition Reform Network
ARP, Address Resolution Protocol - Applied Research Programme
ARPA, Advanced Research Projects Agency
ARRC, ACE Rapid Reaction Corps
ARRF, Allied Rapid Reaction Force
ARRL, American Radio Relay League
ARS, Agricultural Research Service -  Argentine peso (ISO 4217 currency code)
ARSC, Arctic Region Supercomputing Center
ARSPACE, U.S. Army Space Command
ART, Adaptive Resonance Theory - Anti-Retroviral Therapy
ARTCC, Air Route Traffic Control Center
ARWG," Army Research Working Group (""are-wig"")"
as, Adult swim -  Assamese language (ISO 639-1 code) - Attosecond
aS, Attosiemens
As, Arsenic
AS, American Samoa (postal symbol; ISO 3166 digram) - Australia (FIPS 10-4 country code) - Assam / Asom (Indian state code)
AS, ActionScript
ASA, AcetylSalicylic Acid - American Standards Association - Army Security Agency - Atlantic Southeast Airlines
ASAP, As Soon As Possible
ASARS, Advanced Synthetic Aperture Radar System - Airborne Search and Rescue System
ASB, Associated Student Body - Alternative Service Book (Church of England)
asbl," association sans but lucratif (French ""Non-profit organisation"")"
ASBO, Anti-Social Behaviour Order
ASCAP," American Society of Composers, Authors, and Publishers"
ASCC, Army Service Component Commander - Automatic Sequence Controlled Calculator - Air Standardization Coordinating Committee
ASCIET, All Services Combat Identification Evaluation Team
ASCII, American Standard Code for Information Interchange
ASD, (U.S.) Assistant Secretary of Defense - autism spectrum disorder
ASDIC, Allied Submarine Detection Investigation Committee (Sonar)
ASEAN, Association of Southeast Asian Nations
ASFAR, Americans for a Society Free of Age Restrictions
ASG, Area Support Group
ASIC, Australian Securities and Investments Commission -  Aviation Security Identification Card
ASICS," Anima sana in corpore sano (Latin, ""A sound mind in a sound body"") (athletic shoe manufacturer)"
ASIO, Australian Security Intelligence Organisation -  Audio stream input output
ASIP, Advanced System Improvement Program - Army Stationing and Installation Plan - Application-specific instruction-set processor
ASL," Above Sea Level - American Sign Language (also known as Ameslan) - ""Age, Sex, Location?"" (Internet slang)"
asm, Assamese language (ISO 639-2 code)
ASM, Air-to-Surface Missile -  American Samoa (ISO 3166 trigram) -  American Society for Metals -  American Society for Microbiology
ASMB, American Society for Matrix Biology - Adult Swim Message Board
ASME, American Society of Mechanical Engineers - American Society of Magazine ors
ASMP," Air-Sol Moyenne Portée missile (French ""Medium-range air to surface"") -  Asymmetric multiprocessing"
ASN, Associate of Science in Nursing
ASOC,(a/i) Air Sovereignty Operations Centre - Air Support Operations Centre - Airport Security and Operations Centre - Antarctic and Southern Ocean Coalition - Atlanta Symphony Orchestra Chorus - Australian Standard Offence Classification
ASP, Active Server Pages - American Society of Primatologists - Ammunition Supply Point - Application Service Provider (cf internet service provider) - Astronomical Society of the Pacific - Association of Surfing Professionals
ASPI, Australian Strategic Policy Institute
ASR, Alkali-silica reaction - Anti Slip Regulation
ASRAAM, Advanced Short-Range Air-to-Air Missile
ASSC, Association for the Scientific Study of Consciousness
AST, Atlantic Standard Time (UTC−4 hours)
ASTIA, Armed Services Technical Information Agency
ASTM, American Society for Testing and Materials
ASTREA, Aerial Support To Regional Enforcement Agencies (sheriff's air support unit)
ASUW, AntiSUrface Warfare
ASVAB,Armed Services Vocational Aptitude Battery(taken by juniors in high school in the USA)
ASVEL," Association Sportive Villeurbanne Éveil Lyonnais (Association Sportive is French for ""Sporting Association""; the club was founded through the merger of AS Villeurbanne and Éveil Lyonnais)"
ASW, AntiSubmarine Warfare
ASWORG, (U.S.) AntiSubmarine Warfare Operations Research Group
ASX, Advanced Stream Redirector - Australian Securities Exchange
aT, Attotesla
At, Astatine
AT, Anti-Tank -  Ashmore and Cartier Islands (FIPS 10-4 territory code) - Austria (ISO 3166 digram) -  Advanced Technology (IBM Personal Computer/AT)
ATA, Advanced Technology Attachment (IBM Personal Computer) - Afghan Transitional Authority - Allen Telescope Array -  Antarctica (ISO 3166 trigram)
ATAC, Air Transportable Acoustic Communications
ATACMS, Army TACtical Missile System
ATAPI, Advanced Technology Attachment Packet Interface
ATAS, Air-To-Air Stinger (missile)
ATAT, Aiken Tactical Airsoft Team / Star Wars vehicle
ATB, Active Time Battle -  British Antarctic Territory (ISO 3166 trigram; merged with AQ in 1979)
ATC," Air Traffic Control - Air Training Corps - U.S. Air Transport Command (1942-1948)- Athletic Trainer, Certified (www.nata.org)"
ATCCIS, Army Tactical Command and Control Information System
ATESS, Aerospace and Telecommunications Engineering Support Squadron
ATF," French Southern Territories (ISO 3166 trigram) -  (U.S.) Bureau of Alcohol, Tobacco, Firearms and Explosives (from its previous name, which did not include ""Explosives"")"
ATG, Antigua and Barbuda (ISO 3166 and FIFA trigram)
ATGM, Anti-Tank Guided Missile
ATGW, Anti-Tank Guided Weapon
ATI," Allied Telesyn International, Inc. -  Array Technologies Incorporated. (ATI Technologies)"
Atisbo,"a Local Government Area in Nigeria named for constituent communities (Ago-Are, Tede, Irawo, Sabe, Baasi, Ofiki and Owo)"
ATK, Attack
ATL," Atlanta, Georgia, the largest city and capital of Georgia"
ATLAS, All-Terrain Lifter Army System -  Assessment Tool for LAnd Systems
ATM, Automated Teller Machine - Asynchronous Transfer Mode - At The Moment
ATN, Dronning Maud Land (ISO 3166 trigram; merged with AQ in 1983)
ATO, Air Tasking Order - Australian Taxation Office
ATP, Adenosine TriPhosphate - Allied Tactical Publication - Ammunition Transfer Point
ATSD, (U.S.) Assistant Secretary of Defense
ATSDR, Agency for Toxic Substances and Disease Registry
ATV, All-Terrain Vehicle
ATWA," Air, Trees, Water, Animals"
Au, Gold (Latin Aurum)
AU, African Union (was OAU before 2000) - American University -  Astronomical Unit - Australia (ISO 3166 digram) - Austria (FIPS 10-4 country code)
AUC," Ab Urbe Condita / Anno Urbis Conditae (Latin ""from the founding of the city"" / ""in the year since the founding of the city"") (of Rome) - Area Under the Curve (concentration time curve; medicine)"
AUD, Australian dollar (ISO 4217 currency code)
AUS, Australia (ISO 3166 trigram)
AUSCANNZUKUS," Australia, Canada, New Zealand, United Kingdom, United States (security designation)"
Auslan, Australian Sign Language
AUT, Austria (ISO 3166 trigram)
AUTL, Army Universal Task List
av, Avar language (ISO 639-1 code)
aV, Attovolt
Av, Aperture value (photographic mode)
ava, Avar language (ISO 639-2 code)
AVA, American Viticultural Area
AVB, Audio Video Bridging
AVDLR, Aviation Depot Level Repair
ave, Avestan language (ISO 639-2 code)
AVGP," Armoured Vehicle, General Purpose"
AVI, Audio Video Interleave
AVIM, Aviation Intermediate Maintenance
AVLB, Armoured Vehicle Launched Body
AVO, Apprehended Violence Order
AVP, Arubaanse Volkspartij
AVP, Association of Volleyball Professionals
AVRE, Armoured Vehicle Royal Engineers
AVUM, Aviation Unit Maintenance
AVVO, Acute Vaginal Venereal Outbreak
aW, Attowatt
AW, Aruba (ISO 3166 digram)
AWA, American Wrestling Association
AWACS, Airborne Warning And Control System
AWC, Air Warfare Centre
AWD,"many, including All Wheel Drive; see entry"
AWE,(i/a) Advanced Warfighting Experiment
AWG, Aruban guilder (ISO 4217 currency code)
AWOL, Absent Without Official Leave / Absent WithOut Leave (military jargon)
AWP, Awaiting Parts (SM&R code)
AWSIM, Air Warfare SIMulation
AWST, Australian Western Standard Time
AWW, Above Water Warfare
AX, Åland Islands (ISO 3166 digram)
AXP, Ambulance eXchange Point
ay, Aymara language (ISO 639-1 code)
AY, Antarctica (FIPS 10-4 territory code)
AYBABTU, All Your Base Are Belong To Us
aym, Aymara language (ISO 639-2 code)
AYU, As Yet Unknown
az, Azerbaijani language (ISO 639-1 code)
aze, Azerbaijani language (ISO 639-2 code)
AZE, Azerbaijan (ISO 3166 trigram)
AZN, Azerbaijani manat (ISO 4217 currency code)
AZUR," Actions en zone urbaine (French, Urban Operations)"
BBYO,B'nai B'rith Youth Organization
BoAML,Bank of America Merrill Lynch
BOGs, Bunch of Guys
BSatCoP,Benjamin Sniddlegrass and the Cauldron of Penguins
BSE," Bovine Spongiform Encephalopathy, better known as mad cow disease"
c, Centi
C, Carbon - Coulomb - One Hundred (in Roman numerals)
c2c, the British rail company formerly known as LTS Rail
C2C, Consumer-To-Consumer electronic commerce - Cam-To-Cam internet chat
ca, Catalan language (ISO 639-1 code)
Ca, Calcium
CACM, Communications of the ACM
"CAD- Canadian dollar (ISO 4217 currency code), Computer-Aided Design,Computer-Aided Dispatch,Cpplint Anxiety Disorder", Condition suffered by software developers who worry about whether they've left any whitespace on the end of a line
CADCAM, Computer-Aided Design/Computer-Aided Manufacturing
CADPAT, CAnadian Disruptive PATtern
CADMID," Concept, Assessment, Demonstration, Manufacture, In service, Disposal (life cycle mnemonic)"
CAEn,(i/a) Close Action Engagement (constructive simulation)
CAFAD, Combined Arms For Air Defence
CAFE, Corporate Average Fuel Economy standard
CAI, Computer Assisted Instruction
CAIR, Council on American-Islamic Relations
CALABARZON," A region in the Philippines: CAvite, LAguna, BAtangas, Rizal, queZON"
CALL, (U.S.) Center for Army Lessons Learned
CALM," Communications, Air-interface, Long and Medium range"
CalPERS, California Public Employees' Retirement System
Caltrans, California Department of Transpotation
CAMRA, CAMpaign for Real Ale
CAN, Canada (ISO 3166 trigram)
CANA," Convulsive Antidote, Nerve Agent"
CANDU, CANada Deuterium Uranium (nuclear reactor design)
Canola," Canadian oil, low acid (referring to a specific cultivar of rapeseed bred to have a low erucic acid content)"
CARMONETTE, Computerized Monte Carlo Simulation
CARP, Computed Air Release Point
CART, Championship Auto Racing Teams (now defunct)
CASA, Civil Aviation Safety Authority
CASS, Command Activated Sonobuoy System
CASTFOREM, Combined Arms and Support Task FORce Evaluation Model
CASTOR, Canadian Automatic Small Telescopes for Orbital Research
cat, Catalan language (ISO 639-2 code)
CATK, Counterattack
CATS, Computer Active Technology Suspension
CATT,(a/i) Combined Arms Tactical Trainer
CAV, Cavalry
CAVOK," Ceiling And Visibility OK (""Kav-okay"")"
CAW, Canadian Auto Workers (trade union)
CBASSE," Commission on Behavioral And Social Sciences and Education (""sea bass"")"
CBF," Confederação Brasileira de Futebol (Portuguese, ""Brazilian Football Confederation"")"
CBGB," Country, Blue Grass, and Blues (former New York City nightclub)"
CBLA, Comparative bullet lead analysis
CBN,CardsApp Brand Number
CBM,"many, including Canadian Baptist Ministries and Commodore Business Machines; see entry"
CBML, Coalition Battle Management Language
CBOL, Consortium for the Barcode of Life
CBOT, Chicago Board of Trade
CBR, Case-Based Reasoning
CBRN," Chemical, Biological, Radiological, or Nuclear (weapon or event)"
CBRNE," Chemical, Biological, Radiological, Nuclear or [high-yield] Explosive (weapon or event)"
CBUS," Columbus, Ohio"
CC,"many, including carbon copy; see entry"
CCA, Counter Command Activity
CCF, Cartoon Cartoon Fridays
CCGH, Canadian Coast Guard Hovercraft
CCH, Computer-Controlled Hostile
CCIF," Comité consultatif international des communications téléphoniques à grande distance (French for International Telephone Consultative Committee, merged with the CCIT in 1956 to form the CCITT)"
CCIT," Comité consultatif international télégraphique (French for International Telegraph Consultative Committee, merged with the CCIF in 1956 to form the CCITT)"
CCITT," Comité consultatif international téléphonique et télégraphique (French for International Telegraph and Telephone Consultative Committee, became the ITU Telecommunication Standardization Sector, ITU-T, in 1992)"
CCOP, Coalition Common Operating/Operational Picture
CCPA, Consumer Credit Protection Act
CCR, Creedence Clearwater Revival
CCRAp, Canadian Conservative Reform Alliance party
CCRP, Command and Control Research Program
CCRTS, Command and Control Research and Technology Symposium
CCSCS, Coordinadora de Centrales Sindicales del Cono Sur
CCSCS, Consultative Committee for Space Data Systems
CCSIL," Command and Control Simulation Interface Language (""cecil"")"
CCSK, Cyclic Code Shift Keying
CCT, Current Commitments Team
CCTT, Close Combat Tactical Trainer
cd, Candela
Cd, Cadmium
CD,"many, including Compact Disc; see entry"
CD1, Cluster of Differentiation 1 (a small gene family)
CDA, UK Centre for Defence Analysis
CDD, Capabilities Development Document
CDE, Chemical Defence Equipment
CDEC, U.S. Combat Development Experimentation Center
CDIAC," Carbon Dioxide Information Analysis Center (""see-dee-ack"")"
CDipAF, Certified Diploma in Accounting and Finance
CDL, Commercial driver's license
CDMA, Code Division Multiple Access
CDMSII, Cryogenic Dark Matter Search II
Cdr, Commander
Cdt, Commandant
